E20:IRS16C	1.23	1.13	0.48	1.22	0.46	9.7	-342	50	302	44	125	30	0.90	0.10	0.075	0.279	Ofpe/WN9	2	-6.7	0.4
E21	1.31	-0.85	-1.00	-1.91	0.45	13.8	397	28	-65	27	-24	30	0.86	0.07	0.349	0.159	OB I?	2	-3.9	0.7
E22	1.40	-1.36	-0.31	-0.90	0.33	12.8	157	29	-277	27	-434	50	0.96	0.08	0.204	0.219	O8-9.5 III/I	2	-4.2	0.6
E23:IRS16SW	1.43	1.05	-0.98	-1.46	0.51	9.9	261	47	90	43	320	40	0.88	0.16	0.410	0.190	Ofpe/WN9	2	-6.5	0.4
E24	1.68	-1.67	0.14	-0.21	0.38	13.1	62	29	-206	28	-344	50	0.93	0.13	0.413	0.177	O9-9.5 III?	2	-4.5	0.5
E25	1.72	-1.64	-0.50	-1.15	0.66	12.7	273	28	-81	28	-224	50	0.55	0.10	\nodata	\nodata	O8.5-9.5 I?	2	-4.2	0.5
E26:IRS16SSW	1.75	0.72	-1.60	\nodata	\nodata	11.5	118	28	-207	29	206	30	0.10	0.12	\nodata	\nodata	O8-9.5 I	2	-5.5	0.5
E27:IRS16CC	2.08	2.01	0.54	1.35	0.54	10.4	-85	44	219	45	241	25	0.99	0.19	0.478	0.137	O9.5-B0.5 I	2	-6.7	1.1
E28:IRS16SSE2	2.08	1.45	-1.49	-2.13	0.54	12.4	292	28	120	27	286	20	0.93	0.09	0.228	0.241	B0-0.5 I	2	-4.4	0.4
E29	2.08	0.99	1.83	3.21	0.57	13.7	-254	28	67	27	-94	50	0.97	0.11	0.490	0.170	O9-B0	2	-3.5	0.8
E30:IRS16SSE1	2.09	1.59	-1.36	-1.85	0.57	12.2	291	29	116	28	216	20	0.88	0.09	0.057	0.212	O8.5-9.5 I	2	-4.9	0.5
E31:IRS29N	2.14	-1.60	1.41	\nodata	\nodata	10.0	130	50	-119	45	-190	90	0.02	0.27	\nodata	\nodata	WC9	2	-7.7	0.4
E32:MPE+1.6-6.8(16SE1)	2.18	1.85	-1.15	-1.52	0.63	10.9	184	43	124	44	366	70	0.91	0.20	0.260	0.347	WC8/9	2	-5.9	0.5
E33:IRS33N	2.19	-0.06	-2.19	\nodata	\nodata	11.1	85	30	-212	40	68	20	0.40	0.16	\nodata	\nodata	B0.5-1 I	2	-5.8	0.4
E34:MPE+1.0-7.4(16S)	2.26	1.27	-1.88	-2.70	0.61	10.7	301	47	1	43	100	20	0.83	0.15	0.100	0.287	B0.5-1 I	2	-6.1	0.6
E35:IRS29NE1	2.28	-0.99	2.06	2.99	0.60	11.7	-370	51	25	43	-100	70	0.87	0.13	0.140	0.306	WC8/9	2	-6.0	0.4
E36	2.34	0.45	2.29	3.52	0.56	12.5	-317	29	85	27	41	20	1.00	0.09	0.192	0.121	O9-B0 I?	2	-5.3	0.4
E37	2.62	-1.47	2.17	\nodata	\nodata	14.8	130	29	-143	28	-114	30	-0.14	0.15	\nodata	\nodata	O8-9 I?	2	-3.3	0.5
E38	2.76	0.19	2.76	3.47	0.54	13.1	-342	46	85	43	36	20	0.98	0.13	0.279	0.166	O8-9 III/I	2	-5.0	0.5
E39:IRS16NE	3.05	2.87	1.03	\nodata	\nodata	8.9	104	49	-379	47	-10	20	-1.00	0.12	0.000	0.234	Ofpe/WN9	2	-7.5	0.6
E40:IRS16SE2	3.17	2.94	-1.19	-1.20	0.71	12.0	107	28	181	29	327	100	0.99	0.14	0.206	0.288	WN5/6	2	-4.5	0.4
E41:IRS33E	3.19	0.65	-3.12	-3.57	0.50	10.1	182	47	-9	42	170	20	0.97	0.26	0.630	0.186	Ofpe/WN9	2	-6.3	0.4
E42	3.20	-3.13	-0.66	\nodata	\nodata	14.6	-52	28	257	28	40	40	-1.00	0.10	0.358	0.218	B V/III	2	-2.7	0.6
E43	3.21	-1.60	-2.79	-3.57	0.50	12.2	227	29	1	28	-114	50	0.87	0.13	0.214	0.297	O8.5-9.5 I	2	-4.7	0.4
E44	3.29	1.45	2.95	3.63	0.42	13.8	-259	29	53	27	-114	40	0.97	0.11	0.508	0.164	O9-B0 II/I?	2	-4.1	0.5
E45	3.33	-2.61	-2.08	\nodata	\nodata	12.5	175	27	106	28	63	30	0.13	0.13	\nodata	\nodata	O9-B0 I	2	-4.3	0.4
E46:IRS13E1	3.37	-2.94	-1.64	\nodata	\nodata	10.7	-201	45	-50	42	71	20	-0.26	0.21	\nodata	\nodata	B0-1 I	2	-5.6	0.3
E47	3.41	1.67	-2.97	\nodata	\nodata	12.5	-49	25	150	25	91	30	0.20	0.16	\nodata	\nodata	B0-3 I	2	-4.4	0.4
E48:IRS13E4	3.50	-3.19	-1.42	\nodata	\nodata	11.7	-316	29	76	29	56	70	-0.61	0.09	0.809	0.058	WC9	2	-4.7	0.4
E49:IRS13E3\tablenotemark{b}	3.53	-3.19	-1.51	\nodata	\nodata	13.0	-157	29	118	30	87	20	-0.88	0.15	0.725	0.098	?	2	-5.2	0.3
E50:IRS16SE3	3.54	3.35	-1.16	-0.93	0.76	11.9	7	29	201	27	281	20	0.96	0.14	0.319	0.224	O8.5-9.5 I	2	-4.7	0.6
E51:IRS13E2	3.59	-3.14	-1.74	\nodata	\nodata	10.8	-303	44	68	46	40	40	-0.66	0.15	0.749	0.099	WN 8	2	-5.6	0.4
E52	3.84	-1.26	3.62	\nodata	\nodata	13.3	214	28	214	26	-167	20	-0.90	0.09	0.378	0.183	O8-9 III	2	-4.8	0.4
E53	3.95	-2.76	-2.83	\nodata	\nodata	12.4	-65	25	-154	25	29	20	0.36	0.15	\nodata	\nodata	B0-1 I	2	-4.7	0.6
E54:IRS34E	4.08	-3.67	1.80	2.12	0.88	12.6	-221	28	-131	27	-154	25	0.84	0.10	0.171	0.215	O9-9.5 I	2	-5.0	0.6
E55	4.14	0.77	-4.06	\nodata	\nodata	12.5	-65	29	-159	27	76	20	-0.54	0.17	\nodata	\nodata	B0-1 I?	2	-4.3	0.4
E56:IRS34W	4.35	-4.05	1.59	1.55	0.89	11.4	-79	28	-166	27	-290	30	1.00	0.15	0.217	0.354	Ofpe/WN9	2	-5.8	0.5
E57	4.43	4.42	0.25	1.48	0.96	13.5	-109	28	114	27	196	40	0.76	0.17	0.343	0.260	O7-9 III?	2	-3.0	0.5
E58:IRS3E	4.48	-2.26	3.80	\nodata	\nodata	15.0	\nodata	\nodata	\nodata	\nodata	107	100	\nodata	\nodata	\nodata	\nodata	WC5/6	1	-2.9	0.6
E59:[PMM2001] B9\tablenotemark{c}	4.54	2.94	3.46	\nodata	\nodata	13.0	250	28	32	26	-150	100	-0.67	0.11	0.794	0.078	WC9	2	-4.0	0.6
E60	4.66	-4.36	-1.65	\nodata	\nodata	12.4	-210	27	127	27	330	80	-0.79	0.11	1.046	0.311	WN7?	2	-4.5	0.6
E61:IRS34NW	4.69	-3.73	2.85	3.08	0.81	12.8	-225	28	-112	27	-150	30	0.90	0.11	0.000	0.230	WN7	2	-4.6	0.6
E62	4.99	2.18	4.48	\nodata	\nodata	11.5	229	42	-66	43	-134	40	-0.99	0.18	0.325	0.229	B0-3 I	2	-6.5	0.5
E63:IRS1W	5.30	5.27	0.57	\nodata	\nodata	9.6	-108	44	209	55	35	20	0.93	0.23	0.410	0.304	Be?	1	-7.1	0.3
E64	5.81	5.81	0.05	\nodata	\nodata	12.4	-20	30	170	25	40	25	0.99	0.15	0.572	0.151	O9.5-B2II	2	-4.4	0.4
E65:IRS9W	6.30	2.85	-5.62	\nodata	\nodata	12.1	167	29	135	27	140	50	0.98	0.13	0.665	0.242	WN8	2	-4.1	0.4
E66:IRS7SW	6.32	-3.95	4.93	\nodata	\nodata	12.0	-5	27	-108	26	-350	50	0.66	0.25	1.261	0.216	WN8	2	-4.4	0.5
E67:IRS1E	6.38	6.37	0.23	\nodata	\nodata	11.2	-107	43	136	49	8	20	0.81	0.28	0.701	0.232	B1-3 I	2	-5.6	0.4
E68:IRS7W	6.47	-2.45	5.99	\nodata	\nodata	13.1	185	29	36	28	-305	100	-0.98	0.15	0.155	0.583	WC9	2	-4.6	0.4
E69	6.58	1.81	-6.32	\nodata	\nodata	11.1	202	29	91	28	153	50	0.99	0.13	0.791	0.359	?	1	-5.5	0.6
E70:IRS7E2(ESE)	6.64	4.41	4.97	\nodata	\nodata	12.9	203	28	-7	26	-80	100	-0.77	0.13	0.714	0.104	Ofpe/WN9	2	-4.1	0.5
E71	6.68	1.59	6.49	\nodata	\nodata	14.1	-148	30	189	29	-300	150	0.79	0.13	0.730	0.284	WC8/9 ?	1	-3.8	0.6
E72	6.73	6.71	-0.50	\nodata	\nodata	13.6	65	28	100	28	86	100	0.87	0.24	0.555	0.243	WC9?	2	-3.0	0.3
E73	7.73	-1.08	7.65	\nodata	\nodata	11.5	-160	50	22	50	-92	40	0.96	0.31	0.373	0.353	O9-B I	2	-5.1	0.3
E74:AFNW	8.42	-7.63	-3.57	\nodata	\nodata	11.7	-67	28	-92	28	70	70	0.48	0.25	0.932	0.055	WN8	2	-4.5	0.4
E75	8.53	-0.02	8.53	\nodata	\nodata	11.0	-35	45	226	40	-138	40	0.15	0.20	0.727	0.405	O9-B I	2	-5.8	0.5
E76:IRS9SW	9.10	4.28	-8.03	\nodata	\nodata	13.1	108	49	8	45	180	80	0.91	0.45	0.521	0.374	WC9	2	-3.4	0.3
E77	9.23	-1.23	9.15	\nodata	\nodata	13.6	\nodata	\nodata	\nodata	\nodata	-155	50	\nodata	\nodata	\nodata	\nodata	O9-B0 V	2	-3.3	0.6
E78:[PMM2001] B1\tablenotemark{c}	9.47	9.46	0.31	\nodata	\nodata	13.0	-161	46	-142	55	-230	100	-0.64	0.26	0.781	0.216	WC9	2	-3.4	0.6
E79:AF	9.51	-6.54	-6.91	\nodata	\nodata	10.8	68	36	50	36	160	30	0.18	0.43	0.991	0.016	Ofpe/WN9	2	-5.7	0.8
E80:IRS9SE	9.93	5.65	-8.17	\nodata	\nodata	11.7	-2	36	-131	36	130	100	-0.58	0.28	0.766	0.181	WC9	2	-5.2	0.6
E81:AFNWNW	9.97	-9.63	-2.58	\nodata	\nodata	12.6	87	31	-9	38	30	70	0.36	0.43	0.873	0.115	WN7	2	-4.9	0.9
E82:Blum	10.14	-8.63	-5.33	\nodata	\nodata	13.0	-53	34	249	46	-70	70	-0.94	0.17	0.646	0.467	WC8/9	2	-3.7	0.8
E83:IRS15SW	10.15	-1.58	10.02	\nodata	\nodata	12.0	-55	39	-32	38	-180	70	0.93	0.62	0.863	0.135	WN8/WC9	2	-5.5	0.4
E84	10.24	0.08	10.24	\nodata	\nodata	11.3	-119	42	74	42	-250	40	0.85	0.30	\nodata	\nodata	O9-B I	2	-6.2	0.5
E85	10.63	9.68	4.39	\nodata	\nodata	12.8	\nodata	\nodata	\nodata	\nodata	-150	40	\nodata	\nodata	\nodata	\nodata	OB	2	-3.7	0.4
E86	10.71	-0.53	10.72	\nodata	\nodata	15.0	93	39	73	40	-205	50	-0.82	0.32	0.684	0.434	OB V ?	2	-1.6	0.4
E87	11.25	2.58	10.94	\nodata	\nodata	13.7	-88	39	-82	37	-120	30	0.56	0.32	0.933	0.072	B V/III	2	-3.5	0.8
E88:IRS15NE	11.76	1.38	11.68	\nodata	\nodata	11.8	-8	39	103	46	-65	40	0.19	0.37	0.877	0.114	WN8/9	2	-5.5	0.5
E89	12.27	0.00	12.27	\nodata	\nodata	14.5	108	40	17	35	-100	40	-0.99	0.37	0.360	0.314	B1-3  V	2	-2.9	0.6
E90	13.24	11.87	5.86	\nodata	\nodata	12.1	\nodata	\nodata	\nodata	\nodata	-190	40	\nodata	\nodata	\nodata	\nodata	O9-B1 I?	2	-4.5	0.4
